,materia,a.conhecimento
9529,Diplomacy And International Negotiation,Negócios e Administração
9530,Estudos Estratégicos: Europa,"Agricultura, Silvicultura, Pesca e Veterinária"
9531,TCC I,programas genericos
9532,"Estudos Estratégicos:Japão, TIgres Asiáticos e Austrália",programas genericos
9533,TCC II,programas genericos
9534,Estágio Supervisionado,programas genericos
9535,Viagem Acadêmica I,Educação
9536,Viagem Acadêmica II,Educação
9537,Processo Criativo,"Humanidades, Artes e Linguagens"
9538,Mercado Publicitário,Negócios e Administração
9539,Linguagem Aplicada,"Humanidades, Artes e Linguagens"
9540,Ética e Legislação,Direito
9541,Promoções e Incentivos,Educação
9542,Introdução à Fotografia,"Humanidades, Artes e Linguagens"
9543,Pontos de Contato,Educação
9544,Planejamento e Atendimento,Saúde e Bem-Estar Social
9545,Redação,programas genericos
9546,Produção Audiovisual I,"Humanidades, Artes e Linguagens"
9547,Fotografia Publicitária,Negócios e Administração
9548,Produção Audiovisual II,"Humanidades, Artes e Linguagens"
9549,Análise de Ambiente de Negócios Digitais,Negócios e Administração
9550,Consumo e Entretenimento Digital,Negócios e Administração
9551,Storytelling e Transmídia,Educação
9552,Produção de Som,"Humanidades, Artes e Linguagens"
9553,Produção de Imagem,"Humanidades, Artes e Linguagens"
9554,Mobilidade e Aplicativos,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9555,Gestão de TI,Negócios e Administração
9556,Desenvolvimento de Produtos Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9557,Comunicação e Responsabilidade Social,"Humanidades, Artes e Linguagens"
9558,Gestão de E-Business,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9559,Linguagem Visual,"Humanidades, Artes e Linguagens"
9560,Projeto I - Princípios da Comunicação Visual e da Moda,"Humanidades, Artes e Linguagens"
9561,Desenho Técnico,"Engenharia, Produção e Construção"
9562,Desenho Digital,"Humanidades, Artes e Linguagens"
9563,Desenho Livre,"Humanidades, Artes e Linguagens"
9564,Desenho Digital Aplicado,"Engenharia, Produção e Construção"
9565,Fotografia,"Humanidades, Artes e Linguagens"
9566,Fundamentos de Ergonomia,"Engenharia, Produção e Construção"
9567,Projeto II - Identidade Visual,"Humanidades, Artes e Linguagens"
9568,"Moda, Arte e Tecnologia","Humanidades, Artes e Linguagens"
9569,História da Arte,"Humanidades, Artes e Linguagens"
9570,Arte e Tecnologia,"Engenharia, Produção e Construção"
9571,Projeto II - Moda e Identidade,"Humanidades, Artes e Linguagens"
9572,História do Design,"Humanidades, Artes e Linguagens"
9573,Semiótica Aplicada ao Design,"Humanidades, Artes e Linguagens"
9574,Tipografia,Educação
9575,"Moda, Comunicação e Digitalidades","Humanidades, Artes e Linguagens"
9576,Fotografia de Moda,"Humanidades, Artes e Linguagens"
9577,Psicologia do Consumo,Psicologia e Desenvolvimento Pessoal
9578,Ergonomia Aplicada ao Design,"Engenharia, Produção e Construção"
9579,Ergonomia Aplicada a Moda,"Engenharia, Produção e Construção"
9580,História da Moda e da Indumentária,"Humanidades, Artes e Linguagens"
9581,Web Design,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9582,Ética e Legislação do Design,"Humanidades, Artes e Linguagens"
9583,Imagem em Movimento,"Humanidades, Artes e Linguagens"
9584,After Effects,Educação
9585,Produção de Moda,"Humanidades, Artes e Linguagens"
9586,Varejo de Moda e Merchandising,Negócios e Administração
9587,Forecasting e Coolhunting,Educação
9588,Design Multisensorial e Sustentabilidade,"Engenharia, Produção e Construção"
9589,Gestão do Design e Inovação,Negócios e Administração
9590,Estratégias Narrativas Audiovisuais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9591,Introdução ao Jornalismo,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9592,História do Jornalismo,"Humanidades, Artes e Linguagens"
9593,"Comunicação, Cultura e Poder",Negócios e Administração
9594,Teorias da Comunicação,"Engenharia, Produção e Construção"
9595,Técnicas de Apuração e Redação Jornalística,programas genericos
9596,Rádio e Mídias Sonoras I,"Ciências Sociais, Jornalismo e Informação"
9597,Cibercultura,Educação
9598,Linguagem de Programação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9599,Ética Jornalística,"Ciências Sociais, Jornalismo e Informação"
9600,Produção em Mídias Digitais,"Engenharia, Produção e Construção"
9601,Produção de Jornalismo de Audiovisual I,"Humanidades, Artes e Linguagens"
9602,Comunicação Corporativa e Assessoria de Imprensa,Negócios e Administração
9603,Fotojornalismo,Educação
9604,Teorias do Jornalismo,"Engenharia, Produção e Construção"
9605,Legislação Jornalística,Direito
9606,Rádio e Mídias Sonoras II,"Ciências Sociais, Jornalismo e Informação"
9607,Interfaces Gráficas e Digitais,"Humanidades, Artes e Linguagens"
9608,Produção e Edição de Reportagem I,"Engenharia, Produção e Construção"
9609,Jornalismo de Dados,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9610,Gerenciamento de Crise e Reputação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9611,Produção de Jornalismo de Audiovisual II,"Humanidades, Artes e Linguagens"
9612,Jornalismo Especializado,Educação
9613,Comunicação e Resp.Social e Ambiental,"Ciências Sociais, Jornalismo e Informação"
9614,Produção e Edição de Reportagem II,"Engenharia, Produção e Construção"
9615,Planejamento de Marketing e Comunicação,Negócios e Administração
9616,Introdução à Administração Contemporânea,Negócios e Administração
9617,Criatividade nos Negócios,Saúde e Bem-Estar Social
9618,Ética e Responsabilidade Empresarial,Negócios e Administração
9619,Psicologia Aplicada às Organizações,Psicologia e Desenvolvimento Pessoal
9620,Matemática Aplicada na Administração,Negócios e Administração
9621,Tecnologias e Sistemas de Informação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9622,Teoria Geral da Administração,Negócios e Administração
9623,Empreendedorismo,Negócios e Administração
9624,Formação de Equipes e Liderança,Psicologia e Desenvolvimento Pessoal
9625,Gestão Contábil,Negócios e Administração
9626,Estatística Aplicada,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9627,Gestão de Comunicação com o Mercado,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9628,Estratégicas de Custo e Preço,Negócios e Administração
9629,Comportamento do Consumidor,Negócios e Administração
9630,Gestão Estratégica de Pessoas,Negócios e Administração
9631,Gestão de Operações,Negócios e Administração
9632,Teoria Das Organizações,Negócios e Administração
9633,Modelos de Previsão e Decisão em Negócios,Negócios e Administração
9634,Direito Trabalhista,Direito
9635,Planejamento Estratégico,Negócios e Administração
9636,Gestão da Inovação,Negócios e Administração
9637,Administração Financeira,Negócios e Administração
9638,Análise de Novos Negócios,Negócios e Administração
9639,Gestão de Mudanças,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9640,Direito Tributário,Direito
9641,Orçamento Empresarial e Captação de Recursos,Negócios e Administração
9642,Mercado de Capitais,Negócios e Administração
9643,Gestão e Qualidade,Negócios e Administração
9644,Estruturas de Governança e Sucessão,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9645,Consultoria Empresarial,Negócios e Administração
9646,Gestão de Projetos,Negócios e Administração
9647,Gestão de Vendas e Trade Marketing,Negócios e Administração
9648,Estratégias de Cooperação,Educação
9649,Introdução às Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9650,História das Relações Internacionais,"Humanidades, Artes e Linguagens"
9651,Direito Internacional Público e Direitos Humanos,Direito
9652,Sistema de Comércio Exterior,Saúde e Bem-Estar Social
9653,Pensamento Contemporâneo I,Negócios e Administração
9654,Fundamentos de Marketing,Negócios e Administração
9655,Inglês I,Educação
9656,Espanhol I,Educação
9657,Diplomacia Corporativa,Negócios e Administração
9658,Ciência Política,"Humanidades, Artes e Linguagens"
9659,Estudos Estratégicos: América,"Humanidades, Artes e Linguagens"
9660,Finanças Aplicadas de Mercado,Negócios e Administração
9661,Marketing Estratégico,Negócios e Administração
9662,Inglês II,Educação
9663,Espanhol II,Educação
9664,Organizações e Regimes Internacionais,"Ciências Sociais, Jornalismo e Informação"
9665,Estudos Estratégicos: Ásia,"Humanidades, Artes e Linguagens"
9666,Modelagem de Negócios ,Negócios e Administração
9667,Pesquisa de Mercado,"Ciências Sociais, Jornalismo e Informação"
9668,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
9669,Finanças Internacionais,Negócios e Administração
9670,Teoria das Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9671,Estudos Estratégicos: Oriente Médio,"Agricultura, Silvicultura, Pesca e Veterinária"
9672,Geopolítica,Educação
9673,Gestão Global de Stakeholders,Negócios e Administração
9674,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
9675,Logística Internacional,Negócios e Administração
9676,Economia Política Internacional,"Ciências Sociais, Jornalismo e Informação"
9677,Estudos Estratégicos: África,"Humanidades, Artes e Linguagens"
9678,Business Technology,Negócios e Administração
9679,Direito dos Negócios Internacionais,Direito
9680,Estágio Supervisionado,programas genericos
9681,Análise da Politica Externa Brasileira,"Ciências Sociais, Jornalismo e Informação"
9682,Estudos Estratégicos: Europa,"Agricultura, Silvicultura, Pesca e Veterinária"
9683,Métodos e Técnicas de Pesquisa,programas genericos
9684,Análise de Conjuntura Econômica,"Ciências Sociais, Jornalismo e Informação"
9685,TCC I,programas genericos
9686,Estratégias Corporativas e Relações Governamentais,"Ciências Sociais, Jornalismo e Informação"
9687,Seminário Temático,"Humanidades, Artes e Linguagens"
9688,TCC II,programas genericos
9689,Laboratório de Negociação,Negócios e Administração
9690,"Estudos Estratégicos:Japão, TIgres Asiáticos e Austrália",programas genericos
9691,TCC II,programas genericos
9692,Estágio Supervisionado,programas genericos
9693,Teoria Geral do Direito,Direito
9694,Linguagem,"Humanidades, Artes e Linguagens"
9695,Teorias Políticas,"Engenharia, Produção e Construção"
9696,Marketing I,Negócios e Administração
9697,Introdução ao Estudo Das Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9698,Pensamento Filosófico,"Ciências Sociais, Jornalismo e Informação"
9699,Espanhol I,Educação
9700,Inglês I,Educação
9701,Sociologia,"Ciências Sociais, Jornalismo e Informação"
9702,Marketing II,Negócios e Administração
9703,Sistema do Comércio Exterior Brasileiro,Saúde e Bem-Estar Social
9704,Espanhol II,Educação
9705,Inglês II,Educação
9706,Direito Internacional Público,Direito
9707,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
9708,Estatística Fundamental,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
9709,História Das Relações Internacionais Moderna,"Ciências Sociais, Jornalismo e Informação"
9710,Finanças Corporativas,Negócios e Administração
9711,Estudos Estratégicos: América do Sul e Caribe,Ciências Naturais
9712,Marketing III,Negócios e Administração
9713,Organizações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9714,Geografia dos Negócios Internacionais,"Ciências Sociais, Jornalismo e Informação"
9715,Antropologia,"Ciências Sociais, Jornalismo e Informação"
9716,Direito do Comércio Internacional,Direito
9717,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
9718,Marketing IV,Negócios e Administração
9719,Teoria Das Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
9720,Economia Brasileira Contemporânea,"Ciências Sociais, Jornalismo e Informação"
9721,"Estudos Estratégicos: Eua, Canadá e México",programas genericos
9722,História Das Relações Internacionais Contemporânea,"Humanidades, Artes e Linguagens"
9723,Pesquisa de Mercado,"Ciências Sociais, Jornalismo e Informação"
9724,Geopolítica,Educação
9725,Logística Internacional,Negócios e Administração
9726,Seminário de Monografia,Serviços
9727,International Economy,Educação
9728,Estudos Estratégicos: Oriente Médio e África,"Humanidades, Artes e Linguagens"
