,materia,a.conhecimento
1540,Direito Internacional Público,Direito
1541,Economia Internacional,"Ciências Sociais, Jornalismo e Informação"
1542,Geografia dos Negócios Internacionais,"Ciências Sociais, Jornalismo e Informação"
1543,Geopolítica,Educação
1544,História da Política Externa Brasileira,"Ciências Sociais, Jornalismo e Informação"
1545,História Das Relações Internacionais Moderna,"Ciências Sociais, Jornalismo e Informação"
1546,História Das Relações Internacionais Contemporânea,"Humanidades, Artes e Linguagens"
1547,Organizações Internacionais,"Ciências Sociais, Jornalismo e Informação"
1548,Estudos Estratégicos: América do Sul e Caribe,Ciências Naturais
1549,"Estudos Estratégicos: Eua, Canadá e México",programas genericos
1550,Estudos Estratégicos: Oriente Médio e África,"Humanidades, Artes e Linguagens"
1551,"Estudos Estratégicos: China, Rússia e Índia","Humanidades, Artes e Linguagens"
1552,Estudos Estratégicos: Europa,"Agricultura, Silvicultura, Pesca e Veterinária"
1553,"Estudos Estratégicos:Japão, TIgres Asiáticos e Austrália",programas genericos
1554,Simulador de TI,Negócios e Administração
1555,Simulador de Negócios,Negócios e Administração
1556,Simulador em Ambientes Globais,Educação
1557,TCC II,programas genericos
1558,Estágio Supervisionado,programas genericos
1559,Ética e Responsabilidade Empresarial,Negócios e Administração
1560,Filosofia,"Humanidades, Artes e Linguagens"
1561,Inglês Aplicado aos Negócios,"Agricultura, Silvicultura, Pesca e Veterinária"
1562,Matemática Aplicada na Administração,Negócios e Administração
1563,Marketing I,Negócios e Administração
1564,"Intr.Adm.Contemp.:Negócios,Criatividade e Inovação",Negócios e Administração
1565,Empreendedorismo,Negócios e Administração
1566,Finanças Empresariais,Negócios e Administração
1567,Sociologia e Política,"Ciências Sociais, Jornalismo e Informação"
1568,Marketing II,Negócios e Administração
1569,Estatística Fundamental,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1570,Teoria Geral da Administração,Negócios e Administração
1571,Tecnologias e Sistemas de Informação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1572,Fundamentos do Direito,Direito
1573,Estatística Aplicada,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1574,Psicologia Aplicada às Organizações,Psicologia e Desenvolvimento Pessoal
1575,Gestão de Operações,Negócios e Administração
1576,Antropologia,"Ciências Sociais, Jornalismo e Informação"
1577,Marketing Estratégico,Negócios e Administração
1578,Gestão Contábil,Negócios e Administração
1579,Teoria Das Organizações,Negócios e Administração
1580,Formação de Equipes e Liderança,Psicologia e Desenvolvimento Pessoal
1581,Direito Trabalhista,Direito
1582,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
1583,Comportamento do Consumidor,Negócios e Administração
1584,Planejamento de Marketing,Negócios e Administração
1585,Pesquisa de Mercado,"Ciências Sociais, Jornalismo e Informação"
1586,Gestão de Comunicação com o Mercado,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1587,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
1588,Estratégicas de Custo e Preço,Negócios e Administração
1589,Gestão Estratégica de Pessoas,Negócios e Administração
1590,Modelos de Previsão e Decisão em Negócios,Negócios e Administração
1591,Análise de Ambiente de Negócios Digitais,Negócios e Administração
1592,Consumo e Entretenimento Digital,Negócios e Administração
1593,Marketing Digital,Negócios e Administração
1594,Análise de Novos Negócios,Negócios e Administração
1595,Gestão de Mudanças,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1596,Logística Internacional,Negócios e Administração
1597,Análise de Conjuntura Econômica,"Ciências Sociais, Jornalismo e Informação"
1598,Gestão da Inovação,Negócios e Administração
1599,Gestão de Vendas e Trade Marketing,Negócios e Administração
1600,Administração Financeira,Negócios e Administração
1601,Planejamento Estratégico,Negócios e Administração
1602,Gestão de TI,Negócios e Administração
